arm,group,split,case,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,bounds_violations,centroid_dx_mm,centroid_dy_mm,centroid_dz_mm,centered_rms_scale_ratio,plane_p95_mm,beta_step_max_deg,beta_step_gt7deg_rate,endpoint_beta_gap_deg
junction_20260925,targets,diagnostic,circle_u100_center25_r40,128,128,0,1.7943780428184453,3.2202017471274424,3.3049978888600187,3.3128280023167136,0.8984375,1.0,0,-1.5221396675144798,-0.648179714350657,-0.4604688086206845,1.0038339467865292,2.743129466898508,0.11286759537399134,0.0,0.03661322904585335
junction_20260925,targets,diagnostic,circle_u100_center350_r5,128,128,0,1.4425465167659772,1.50586964640404,1.5068803482844688,1.5069497673310353,1.0,1.0,0,-0.4034724442454757,0.9684594051831705,-0.9830189072412133,0.9967768518849828,0.5789425627700906,0.008805607944027377,0.0,0.0021423048414303666
junction_20260925,targets,diagnostic,circle_u100_center350_r10,128,128,0,1.4422657111866684,1.5726210808861845,1.574729110907453,1.57491345611625,1.0,1.0,0,-0.42089117145752664,0.9524607845619723,-0.9698016213849345,0.9966425321797544,0.7821087538341542,0.01773394584970342,0.0,0.00417095106620349
junction_20260925,targets,diagnostic,circle_u100_center350_r20,128,128,0,1.4592656198536327,1.6993083047326136,1.703705444736158,1.7038682991145584,1.0,1.0,0,-0.49044613974318085,0.8872116647529564,-0.9170445648338453,0.9960977726124631,1.2590543747713512,0.03590758512722641,0.0,0.007900234353030451
junction_20260925,targets,diagnostic,circle_u100_center350_r40,128,128,0,1.7301700384378425,2.5830453070593697,2.6256584061108326,2.6294317237261593,1.0,1.0,0,-0.7664967883080319,0.6066068352786834,-0.7092422279329216,0.993922386077807,2.5142019093036927,0.07348173641193594,0.0,0.015042050903925035
junction_20260925,targets,diagnostic,circle_u150_center25_r5,128,128,0,2.5460868386497695,2.907676557955808,2.9132891170984268,2.913722139072758,1.0,1.0,0,1.702800964939596,1.1307295390015648,-1.4926824122210756,1.0119584168395364,2.348491035107214,0.008396010037238175,0.0,0.005818467399204612
junction_20260925,targets,diagnostic,circle_u150_center25_r10,128,128,0,2.539228197878394,3.357723019419903,3.371601073222994,3.372465843753767,0.7109375,1.0,0,1.7521772937573559,1.115439947846187,-1.3627837064401627,1.0116904855805133,3.0180390021453563,0.017187317272690836,0.0,0.011605558616909479
junction_20260925,targets,diagnostic,circle_u150_center25_r20,128,128,0,2.4862809336258884,4.197458779000134,4.22023423406483,4.2217556916904595,0.6171875,1.0,0,1.8796169230807755,1.0558299048458106,-0.9328643508646954,1.0106692613894128,4.004364613078814,0.03459149305152958,0.0,0.022964163206640683
junction_20260925,targets,diagnostic,circle_u150_center25_r40,128,128,0,2.2563383474061007,4.328805549807869,4.510862659098817,4.525785741424817,0.6953125,1.0,0,1.7137801789372382,0.845879073686796,-0.1317507942929272,1.0079492673395762,4.107623073980471,0.06627023058716607,0.0,0.04441095720048072
junction_20260925,targets,diagnostic,circle_u150_center350_r5,128,128,0,1.7359889213198096,1.78973057437858,1.7902267528052735,1.7902673871606674,1.0,1.0,0,0.6071875640262671,-1.1924886093535305,-1.0936312256065313,1.001531460593799,0.6941256344069391,0.007880757641725336,0.0,0.002942450830526782
junction_20260925,targets,diagnostic,circle_u150_center350_r10,128,128,0,1.7382015177107406,1.8332946255803113,1.8346340796318865,1.8346824070611036,1.0,1.0,0,0.6045103654157384,-1.1711341871994299,-1.0849108004967971,1.0015527436522398,0.7735939081296217,0.015837928024790192,0.0,0.0057437355247311524
junction_20260925,targets,diagnostic,circle_u150_center350_r20,128,128,0,1.7461679992280459,1.9006063761052712,1.9043972601691397,1.9046495681017062,1.0,1.0,0,0.5935453524531457,-1.086960143113358,-1.050454052006832,1.0016429827353086,0.9073337369399748,0.03203444098100605,0.0,0.010933852200721036
junction_20260925,targets,diagnostic,circle_u150_center350_r40,128,128,0,1.66469000845867,1.995427422881326,2.0059109423252086,2.006920182054174,1.0,1.0,0,0.5452207019560028,-0.7706527747989842,-0.9187429692493769,1.0019522234127705,1.0617338649722252,0.0654818773465585,0.0,0.019684204981580068
junction_20260925,zero,diagnostic,exact_zero,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0,0,,,,,,,,
task_only_20260925,on_grid,test,all,8272,8272,0,2.860073790526875,10.13819106764754,19.726517083312277,132.38859211710164,0.534453578336557,0.9486218568665378,0,,,,,,,,
task_only_20260925,on_grid,test,core,71,71,0,0.6666276091483428,1.63273382288245,3.1501232993430306,4.048950025105053,0.9859154929577465,1.0,0,,,,,,,,
task_only_20260925,on_grid,test,transition,1139,1139,0,1.8298592500109965,5.524159777608385,10.857368433518758,26.173736085895953,0.8226514486391572,0.9877085162423178,0,,,,,,,,
